Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.4;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 2;;;;;;;;;;
T° Bac trempe;Bas=;0;Haut=;50;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
N° Programme;Bas=;0;Haut=;50;Unités=;;;;;;
Chrono Trempe;Bas=;00:00:00;Haut=;00:00:00;Unités=;;;;;;
Date/Heure;;T° Bac trempe;% Puissance;Consigne T°;N° Programme;Chrono Trempe;;;;;
;;°C;%;°C;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 Démarrage lot (Invité);;;;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 N° OF 340653--5374OFF;;;;;;;;;;
09/02/2023 14:45;;20;20,9;495;6;00:00:00;;;;;
09/02/2023 14:45;;20;21,9;495;6;00:00:00;;;;;
09/02/2023 14:45;;20;21,3;495;6;00:00:00;;;;;
09/02/2023 14:45;;20;21,7;495;6;00:00:00;;;;;
09/02/2023 14:45;;20;22,3;495;6;00:00:00;;;;;
09/02/2023 14:46;;20;22,6;495;6;00:00:00;;;;;
09/02/2023 14:46;;20;22,5;495;6;00:00:00;;;;;
09/02/2023 14:46;;20;21,4;495;6;00:00:00;;;;;
09/02/2023 14:46;;20;21,7;495;6;00:00:00;;;;;
09/02/2023 14:46;;20;22,6;495;6;00:00:00;;;;;
09/02/2023 14:46;;20;21,9;495;6;00:00:00;;;;;
09/02/2023 14:47;;20;21,6;495;6;00:00:00;;;;;
09/02/2023 14:47;;20;21,4;495;6;00:00:00;;;;;
09/02/2023 14:47;;20;21,2;495;6;00:00:00;;;;;
09/02/2023 14:47;;20;20,5;495;6;00:00:00;;;;;
09/02/2023 14:47;;20;21,5;495;6;00:00:00;;;;;
09/02/2023 14:47;;20;21,2;495;6;00:00:00;;;;;
09/02/2023 14:48;;20;21,2;495;6;00:00:00;;;;;
09/02/2023 14:48;;20;21,3;495;6;00:00:00;;;;;
09/02/2023 14:48;;20;21,5;495;6;00:00:00;;;;;
09/02/2023 14:48;;20;21,7;495;6;00:00:00;;;;;
09/02/2023 14:48;;20;21,8;495;6;00:00:00;;;;;
09/02/2023 14:48;;20;21,4;495;6;00:00:00;;;;;
09/02/2023 14:49;;20;21,4;495;6;00:00:00;;;;;
09/02/2023 14:49;;20;21,4;495;6;00:00:00;;;;;
09/02/2023 14:49;;20;21,8;495;6;00:00:00;;;;;
09/02/2023 14:49;;20;21,9;495;6;00:00:00;;;;;
09/02/2023 14:49;;20;21,6;495;6;00:00:00;;;;;
09/02/2023 14:49;;20;22;495;6;00:00:00;;;;;
09/02/2023 14:50;;20;21;495;6;00:00:00;;;;;
09/02/2023 14:50;;20;21,3;495;6;00:00:00;;;;;
09/02/2023 14:50;;20;21,3;495;6;00:00:00;;;;;
09/02/2023 14:50;;20;19,6;495;6;00:00:00;;;;;
09/02/2023 14:50;;20;19,4;495;6;00:00:00;;;;;
09/02/2023 14:50;;20;20,6;495;6;00:00:00;;;;;
09/02/2023 14:51;;20;20,5;495;6;00:00:00;;;;;
09/02/2023 14:51;;20;21,5;495;6;00:00:00;;;;;
09/02/2023 14:51;;20;20;495;6;00:00:00;;;;;
09/02/2023 14:51;;20;20,4;495;6;00:00:00;;;;;
09/02/2023 14:51;;20;20,7;495;6;00:00:00;;;;;
09/02/2023 14:51;;20;21;495;6;00:00:00;;;;;
09/02/2023 14:52;;20;22,3;495;6;00:00:00;;;;;
09/02/2023 14:52;;20;20,9;495;6;00:00:00;;;;;
09/02/2023 14:52;;20;21,2;495;6;00:00:00;;;;;
09/02/2023 14:52;;20;21,5;495;6;00:00:00;;;;;
09/02/2023 14:52;;20;20,2;495;6;00:00:00;;;;;
09/02/2023 14:52;;20;19,9;495;6;00:00:00;;;;;
09/02/2023 14:53;;20;20,2;495;6;00:00:00;;;;;
09/02/2023 14:53;;20;20,6;495;6;00:00:00;;;;;
09/02/2023 14:53;;20;20,1;495;6;00:00:00;;;;;
09/02/2023 14:53;;20;20,6;495;6;00:00:00;;;;;
09/02/2023 14:53;;20;20,8;495;6;00:00:00;;;;;
