Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.4;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 2;;;;;;;;;;
T° Bac trempe;Bas=;0;Haut=;50;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
N° Programme;Bas=;0;Haut=;50;Unités=;;;;;;
Chrono Trempe;Bas=;00:00:00;Haut=;00:00:00;Unités=;;;;;;
Date/Heure;;T° Bac trempe;% Puissance;Consigne T°;N° Programme;Chrono Trempe;;;;;
;;°C;%;°C;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 Démarrage lot (Invité);;;;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 N° OF 340653--5374OFF;;;;;;;;;;
09/02/2023 14:28;;20;40,1;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;38,1;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;37,2;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;38;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;35,8;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;35,5;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;35,2;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;34,5;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;33,6;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;34,8;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;34,2;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;32,4;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;31,9;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;32,6;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;31,1;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;29,9;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;29,4;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;29,6;495;6;00:00:00;;;;;
09/02/2023 14:31;;20;29,5;495;6;00:00:00;;;;;
09/02/2023 14:31;;20;28,9;495;6;00:00:00;;;;;
09/02/2023 14:31;;20;29,1;495;6;00:00:00;;;;;
09/02/2023 14:31;;20;29,9;495;6;00:00:00;;;;;
09/02/2023 14:31;;20;30,6;495;6;00:00:00;;;;;
09/02/2023 14:31;;20;29,9;495;6;00:00:00;;;;;
09/02/2023 14:32;;20;30;495;6;00:00:00;;;;;
09/02/2023 14:32;;20;29,3;495;6;00:00:00;;;;;
09/02/2023 14:32;;20;28,5;495;6;00:00:00;;;;;
09/02/2023 14:32;;20;27,5;495;6;00:00:00;;;;;
09/02/2023 14:32;;20;25,8;495;6;00:00:00;;;;;
09/02/2023 14:32;;20;26,1;495;6;00:00:00;;;;;
09/02/2023 14:33;;20;26,3;495;6;00:00:00;;;;;
09/02/2023 14:33;;20;26,5;495;6;00:00:00;;;;;
09/02/2023 14:33;;20;26,4;495;6;00:00:00;;;;;
09/02/2023 14:33;;20;26,5;495;6;00:00:00;;;;;
09/02/2023 14:33;;20;26,1;495;6;00:00:00;;;;;
09/02/2023 14:33;;20;24,9;495;6;00:00:00;;;;;
09/02/2023 14:34;;20;26,4;495;6;00:00:00;;;;;
09/02/2023 14:34;;20;26,3;495;6;00:00:00;;;;;
09/02/2023 14:34;;20;25,8;495;6;00:00:00;;;;;
09/02/2023 14:34;;20;25,3;495;6;00:00:00;;;;;
09/02/2023 14:34;;20;25,2;495;6;00:00:00;;;;;
09/02/2023 14:34;;20;24,9;495;6;00:00:00;;;;;
09/02/2023 14:35;;20;25,2;495;6;00:00:00;;;;;
09/02/2023 14:35;;20;24,6;495;6;00:00:00;;;;;
09/02/2023 14:35;;20;24,4;495;6;00:00:00;;;;;
09/02/2023 14:35;;20;25;495;6;00:00:00;;;;;
09/02/2023 14:35;;20;24,1;495;6;00:00:00;;;;;
09/02/2023 14:35;;20;24,5;495;6;00:00:00;;;;;
09/02/2023 14:36;;20;24,1;495;6;00:00:00;;;;;
09/02/2023 14:36;;20;24,4;495;6;00:00:00;;;;;
09/02/2023 14:36;;20;25,8;495;6;00:00:00;;;;;
09/02/2023 14:36;;20;25,3;495;6;00:00:00;;;;;
09/02/2023 14:36;;20;25,6;495;6;00:00:00;;;;;
09/02/2023 14:36;;20;24,7;495;6;00:00:00;;;;;
09/02/2023 14:37;;20;24,3;495;6;00:00:00;;;;;
09/02/2023 14:37;;20;23,9;495;6;00:00:00;;;;;
09/02/2023 14:37;;20;22,5;495;6;00:00:00;;;;;
09/02/2023 14:37;;20;23,6;495;6;00:00:00;;;;;
09/02/2023 14:37;;20;23,2;495;6;00:00:00;;;;;
09/02/2023 14:37;;20;23;495;6;00:00:00;;;;;
09/02/2023 14:38;;20;23,3;495;6;00:00:00;;;;;
09/02/2023 14:38;;20;24;495;6;00:00:00;;;;;
09/02/2023 14:38;;20;22,8;495;6;00:00:00;;;;;
09/02/2023 14:38;;20,1;23,8;495;6;00:00:00;;;;;
09/02/2023 14:38;;20;22,8;495;6;00:00:00;;;;;
09/02/2023 14:38;;20,1;23,2;495;6;00:00:00;;;;;
09/02/2023 14:39;;20;23,4;495;6;00:00:00;;;;;
09/02/2023 14:39;;20;22,9;495;6;00:00:00;;;;;
09/02/2023 14:39;;20;23,6;495;6;00:00:00;;;;;
09/02/2023 14:39;;20;23,5;495;6;00:00:00;;;;;
09/02/2023 14:39;;20;23,6;495;6;00:00:00;;;;;
09/02/2023 14:39;;20;23,3;495;6;00:00:00;;;;;
09/02/2023 14:40;;20;23,5;495;6;00:00:00;;;;;
09/02/2023 14:40;;20;23,3;495;6;00:00:00;;;;;
09/02/2023 14:40;;20;23,3;495;6;00:00:00;;;;;
09/02/2023 14:40;;20;23,7;495;6;00:00:00;;;;;
09/02/2023 14:40;;20;22,7;495;6;00:00:00;;;;;
09/02/2023 14:40;;20;22,1;495;6;00:00:00;;;;;
09/02/2023 14:41;;20;21,9;495;6;00:00:00;;;;;
09/02/2023 14:41;;20;22,6;495;6;00:00:00;;;;;
09/02/2023 14:41;;20;22,1;495;6;00:00:00;;;;;
09/02/2023 14:41;;20;22,7;495;6;00:00:00;;;;;
09/02/2023 14:41;;20;22,6;495;6;00:00:00;;;;;
09/02/2023 14:41;;20;22,7;495;6;00:00:00;;;;;
09/02/2023 14:42;;20;22,6;495;6;00:00:00;;;;;
